,dates,ranks
0,01/01/2018,6
1,01/02/2018,6
2,01/03/2018,6
3,01/04/2018,6
4,01/05/2018,6
5,01/06/2018,6
6,01/07/2018,6
7,01/08/2018,6
8,01/09/2018,6
9,01/10/2018,6
10,01/11/2018,6
11,01/12/2018,6
12,01/13/2018,6
13,01/14/2018,6
14,01/15/2018,6
15,01/16/2018,6
16,01/17/2018,6
17,01/18/2018,6
18,01/19/2018,6
19,01/20/2018,6
20,01/21/2018,6
21,01/22/2018,6
22,01/23/2018,6
23,01/24/2018,6
24,01/25/2018,6
25,01/26/2018,6
26,01/27/2018,6
27,01/28/2018,6
28,01/29/2018,6
29,01/30/2018,6
30,01/31/2018,6
31,02/01/2018,6
32,02/02/2018,6
33,02/03/2018,6
34,02/04/2018,6
35,02/05/2018,6
36,02/06/2018,6
37,02/07/2018,6
38,02/08/2018,6
39,02/09/2018,6
40,02/10/2018,6
41,02/11/2018,6
42,02/12/2018,6
43,02/13/2018,6
44,02/14/2018,6
45,02/15/2018,7
46,02/16/2018,7
47,02/17/2018,7
48,02/18/2018,7
49,02/19/2018,7
50,02/20/2018,7
51,02/21/2018,7
52,02/22/2018,7
53,02/23/2018,7
54,02/24/2018,7
55,02/25/2018,7
56,02/26/2018,7
57,02/27/2018,7
58,02/28/2018,7
59,03/01/2018,7
60,03/02/2018,7
61,03/03/2018,7
62,03/04/2018,7
63,03/05/2018,7
64,03/06/2018,7
65,03/07/2018,7
66,03/08/2018,7
67,03/09/2018,7
68,03/10/2018,7
69,03/11/2018,7
70,03/12/2018,7
71,03/13/2018,7
72,03/14/2018,7
73,03/15/2018,7
74,03/16/2018,7
75,03/17/2018,5
76,03/18/2018,5
77,03/19/2018,5
78,03/20/2018,5
79,03/21/2018,4
80,03/22/2018,4
81,03/23/2018,4
82,03/24/2018,4
83,03/25/2018,4
84,03/26/2018,4
85,03/27/2018,4
86,03/28/2018,4
87,03/29/2018,4
88,03/30/2018,4
89,03/31/2018,4
90,04/01/2018,4
91,04/02/2018,4
92,04/03/2018,4
93,04/04/2018,4
94,04/05/2018,4
95,04/06/2018,4
96,04/07/2018,4
97,04/08/2018,4
98,04/09/2018,4
99,04/10/2018,4
100,04/11/2018,4
101,04/12/2018,4
102,04/13/2018,4
103,04/14/2018,4
104,04/15/2018,4
105,04/16/2018,4
106,04/17/2018,4
107,04/18/2018,4
108,04/19/2018,4
109,04/20/2018,4
110,04/21/2018,4
111,04/22/2018,4
112,04/23/2018,3
113,04/24/2018,3
114,04/25/2018,3
115,04/26/2018,3
116,04/27/2018,3
117,04/28/2018,3
118,04/29/2018,3
119,04/30/2018,3
120,05/01/2018,3
121,05/02/2018,3
122,05/03/2018,3
123,05/04/2018,3
124,05/05/2018,3
125,05/06/2018,3
126,05/07/2018,3
127,05/08/2018,3
128,05/09/2018,3
129,05/10/2018,3
130,05/11/2018,3
131,05/12/2018,3
132,05/13/2018,3
133,05/14/2018,3
134,05/15/2018,3
135,05/16/2018,3
136,05/17/2018,3
137,05/18/2018,3
138,05/19/2018,3
139,05/20/2018,3
140,05/21/2018,3
141,05/22/2018,3
142,05/23/2018,3
143,05/24/2018,3
144,05/25/2018,3
145,05/26/2018,3
146,05/27/2018,3
147,05/28/2018,3
148,05/29/2018,3
149,05/30/2018,3
150,05/31/2018,3
151,06/01/2018,3
152,06/02/2018,3
153,06/03/2018,3
154,06/04/2018,3
155,06/05/2018,3
156,06/06/2018,3
157,06/07/2018,3
158,06/08/2018,3
159,06/09/2018,3
160,06/10/2018,3
161,06/11/2018,3
162,06/12/2018,3
163,06/13/2018,3
164,06/14/2018,3
165,06/15/2018,3
166,06/16/2018,3
167,06/17/2018,3
168,06/18/2018,2
169,06/19/2018,2
170,06/20/2018,2
171,06/21/2018,2
172,06/22/2018,2
173,06/23/2018,2
174,06/24/2018,2
175,06/25/2018,2
176,06/26/2018,2
177,06/27/2018,2
178,06/28/2018,2
179,06/29/2018,2
180,06/30/2018,2
181,07/01/2018,2
182,07/02/2018,2
183,07/03/2018,2
184,07/04/2018,2
185,07/05/2018,2
186,07/06/2018,2
187,07/07/2018,2
188,07/08/2018,2
189,07/09/2018,2
190,07/10/2018,2
191,07/11/2018,2
192,07/12/2018,2
193,07/13/2018,2
194,07/14/2018,2
195,07/15/2018,2
196,07/16/2018,2
197,07/17/2018,2
198,07/18/2018,2
199,07/19/2018,2
200,07/20/2018,2
201,07/21/2018,2
202,07/22/2018,2
203,07/23/2018,2
204,07/24/2018,2
205,07/25/2018,2
206,07/26/2018,2
207,07/27/2018,2
208,07/28/2018,2
209,07/29/2018,2
210,07/30/2018,2
