date,rank,rating
05/13/2023,150,0.0007171015100775
05/14/2023,150,0.0007172627189057
05/15/2023,150,0.0007174245095003
05/16/2023,150,0.0007175868796686
05/17/2023,150,0.0007177498280514
05/18/2023,150,0.0007179133536688
05/19/2023,150,0.0007180774557694
05/20/2023,163,0.0006662131123672
05/21/2023,163,0.000666318189014
05/22/2023,163,0.0006664236620734
05/23/2023,163,0.0006665295321017
05/24/2023,163,0.0006666357995087
05/25/2023,163,0.0006667424646352
05/26/2023,162,0.0006769326310704
05/27/2023,162,0.0006749863859821
05/28/2023,162,0.0006750907161572
05/29/2023,162,0.0006751954293071
05/30/2023,162,0.0006753005259441
05/31/2023,162,0.0006754060065776
06/01/2023,161,0.0006755118717198
06/02/2023,161,0.0006756181218879
06/03/2023,161,0.0006757247576043
06/04/2023,161,0.0006758317793972
06/05/2023,161,0.0006759391878004
06/06/2023,161,0.0006760469833531
06/07/2023,161,0.0006761551665996
06/08/2023,161,0.0006762637380894
06/09/2023,161,0.0006763726983765
06/10/2023,161,0.0006764820480193
06/11/2023,161,0.0006765917875804
06/12/2023,161,0.0006767019176262
06/13/2023,161,0.0006768124387267
06/14/2023,161,0.000676923351455
06/15/2023,161,0.0006770346563875
06/16/2023,161,0.0006771463541032
