date,rank,rating
02/04/2024,290,0.0004014188585943
02/05/2024,290,0.0004014457555185
02/06/2024,289,0.0004014727389625
02/07/2024,212,0.0004849323260171
02/08/2024,212,0.0004849820234308
02/09/2024,212,0.0004850318348068
02/10/2024,212,0.0004850817588736
02/11/2024,212,0.0004851317946068
02/12/2024,212,0.0004851819411001
02/13/2024,212,0.0004852321975224
02/14/2024,212,0.0004852825630944
02/15/2024,212,0.0004853330370765
02/16/2024,212,0.0004853836187593
02/17/2024,211,0.0004854343074582
02/18/2024,211,0.0004854851025088
02/19/2024,211,0.0004855360032633
02/20/2024,211,0.0004855870090886
02/21/2024,211,0.0004856381193635
02/22/2024,211,0.0004856893334778
02/23/2024,211,0.0004857406508301
02/24/2024,211,0.0004857920708276
02/25/2024,211,0.0004858435928843
02/26/2024,210,0.0004858952164209
02/27/2024,210,0.0004859469408636
02/28/2024,209,0.0004859987656439
02/29/2024,209,0.0004860506901977
03/01/2024,209,0.0004861027139653
03/02/2024,209,0.0004861548363906
03/03/2024,209,0.0004862070569212
03/04/2024,209,0.0004862593750077
03/05/2024,209,0.0004863117901037
03/06/2024,209,0.0004863643016653
03/07/2024,209,0.0004864169091514
03/08/2024,209,0.0004864696120229
03/09/2024,209,0.0004865224097431
03/10/2024,209,0.0004865753017771
03/11/2024,208,0.0004866282875922
03/12/2024,208,0.0004866813666571
03/13/2024,208,0.0004867345384426
03/14/2024,208,0.0004867878024208
03/15/2024,208,0.0004868411580656
03/16/2024,208,0.0004868946048523
03/17/2024,208,0.0004869481422577
03/18/2024,208,0.0004870017697599
03/19/2024,208,0.0004870554868384
03/20/2024,208,0.0004871092929743
03/21/2024,208,0.0004871631876497
03/22/2024,208,0.0004872171703482
