date,rank,rating
05/13/2023,252,0.0004597630608363
05/14/2023,252,0.0004597713902768
05/15/2023,252,0.0004597797502668
05/16/2023,252,0.0004597881409374
05/17/2023,252,0.0004597965624805
05/18/2023,252,0.0004598050151169
05/19/2023,252,0.0004598134990856
05/20/2023,254,0.000454437775462
05/21/2023,254,0.0004544461409125
05/22/2023,254,0.0004544545376038
05/23/2023,254,0.000454462965808
05/24/2023,254,0.0004544714258022
05/25/2023,254,0.0004544799178681
05/26/2023,252,0.0004630024919875
05/27/2023,251,0.0004630108732534
05/28/2023,251,0.000463019624365
05/29/2023,251,0.0004630284093264
05/30/2023,251,0.0004630372284404
05/31/2023,251,0.0004630460820121
06/01/2023,251,0.0004630549703491
06/02/2023,251,0.0004630638937613
06/03/2023,251,0.0004630728525603
06/04/2023,251,0.00046308184706
06/05/2023,251,0.0004630908775757
06/06/2023,251,0.0004630999444247
06/07/2023,251,0.000463109047926
06/08/2023,251,0.0004631181883999
06/09/2023,251,0.0004631273661683
06/10/2023,251,0.0004631365815546
06/11/2023,251,0.0004631458348835
06/12/2023,251,0.0004631551264812
06/13/2023,251,0.0004631644566749
06/14/2023,251,0.0004631738257933
06/15/2023,251,0.0004631832341661
06/16/2023,251,0.0004631926821243
06/17/2023,253,0.0004599726791819
06/18/2023,253,0.0004599821383033
06/19/2023,253,0.0004599916376939
06/20/2023,253,0.0004600011776863
06/21/2023,253,0.0004600107586142
06/22/2023,253,0.0004600203808121
06/23/2023,253,0.0004600300446154
06/24/2023,253,0.0004600397503608
06/25/2023,253,0.0004600494983855
06/26/2023,253,0.0004600592890277
06/27/2023,253,0.0004600691226265
06/28/2023,253,0.0004600789995221
06/29/2023,253,0.000460088920055
06/30/2023,253,0.0004600988845671
07/01/2023,253,0.0004601088934007
07/02/2023,253,0.0004601189468991
07/03/2023,253,0.0004601290454064
07/04/2023,253,0.0004601391892673
07/05/2023,253,0.0004601493788274
07/06/2023,253,0.0004601596144331
07/07/2023,253,0.0004601698964314
07/08/2023,253,0.0004601802251701
07/09/2023,253,0.0004601906009978
07/10/2023,253,0.0004602010242636
07/11/2023,253,0.0004602114953174
07/12/2023,253,0.00046022201451
07/13/2023,253,0.0004602325821925
07/14/2023,253,0.000460243198717
07/15/2023,253,0.0004602538644361
07/16/2023,258,0.0004507599337225
07/17/2023,258,0.0004507703738268
07/18/2023,259,0.0004436668742894
07/19/2023,259,0.0004436771585211
07/20/2023,259,0.0004436874905378
07/21/2023,259,0.0004436978706767
07/22/2023,259,0.0004437082992751
07/23/2023,259,0.0004437187766708
07/24/2023,259,0.0004437293032019
07/25/2023,259,0.000443739879207
07/26/2023,259,0.0004437505050253
07/27/2023,259,0.0004437611809961
07/28/2023,259,0.0004437719074596
07/29/2023,259,0.0004437826847563
07/30/2023,259,0.0004437935132272
07/31/2023,259,0.0004438043932138
08/01/2023,259,0.0004438153250583
08/02/2023,259,0.0004438263091031
08/03/2023,259,0.0004438373456915
08/04/2023,257,0.0004438484351671
