athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Alex Meyer,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Vera,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Carrizo Yunges,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erwin Maldonado,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Brantu,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Enderica Ochoa,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Fernardo Bolanos Zuloaga,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilder Carreno,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Jose Segovia Ramos,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Raul Villagoiz,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johndry Segovia,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillaume Boscher,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Ribeiro,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomi Stefanovski,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasco Gaspar,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Caballero,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fausto Emanuel Brondo,,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2016_02_07_Viedma_10km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenii Drattcev,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridon Gianniotis,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gergely Gyurta,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,NW,Neutral,81,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
