athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Ferry Weertman,NED,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6920.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,GBR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6921.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6921.01,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,ITA,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6924.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridon Gianniotis,GRE,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6925.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Hughes,GBR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6925.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6925.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Evsikov,RUS,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6925.01,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6925.01,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,HUN,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6927.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6927.01,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6928.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,HUN,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6928.01,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6929.01,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergey Bolshakov,RUS,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6929.01,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,NED,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6929.01,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6932.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Bryan,IRL,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6934.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,ISR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6938.01,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,POR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6953.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6955.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,POL,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6957.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,UKR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6959.01,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Billiau,BEL,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6960.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik Rakos,HUN,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6963.01,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Ribeiro,POR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,6997.01,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Snitko,UKR,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,7041.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Bartels,GER,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,7127.01,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vit Ingeduld,CZE,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,7280.01,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Gil,ESP,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,7332.01,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,SRB,07/10/2016,European Championships,"Hoorn, NED",10.0,NW,Neutral,34.0,7352.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
