athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Simone Ruffini,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongyi Qiao,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiabao An,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei Weng,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruoyu Wang,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohsuke Miyamoto,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenhao Wang,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidou Han,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuuya Kataoka,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zibin Zhang,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yifan Zhao,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuhei Matsumura,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Yin Kwan,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riku Kuwazoe,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosuke Mimura,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin Ting Keith Sin,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jo Miyazawa,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chun Hin Hui,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Fung Tse,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chun Hei Bryan Leung,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Ching Wong,,10/09/2016,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,30.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
