athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Simone Ruffini,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Casey,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuuya Kataoka,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shai Toledano,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soon Choy Kevin Yeap,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei Weng,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohsuke Miyamoto,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidou Han,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinjie Ji,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng-Chi Cho,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudolf Visser,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosuke Mimura,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riku Kuwazoe,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Yin Kwan,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jo Miyazawa,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Ching Wong,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Fung Tse,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che-Yu Hsu,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singha Chau,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chung Kiu Yau,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Yat Winson Lee,,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,38.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
