athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6940.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6957.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6959.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6961.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6962.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6962.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6963.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6968.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6979.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6980.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6980.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Brandl,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6984.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6985.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6986.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6986.3,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6988.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6992.6,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Huszti,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6994.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6996.9,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,6998.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7000.1,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7000.2,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7005.8,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Rollo,,06/16/2018,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,69.0,7008.9,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
