athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Christian Reichert,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7012.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7012.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7013.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7014.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luiz Gustavo Foratto G. De Barros,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7014.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Finco,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7015.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7015.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7016.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7017.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Sodemann,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7020.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7021.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7023.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Thomas Mckay,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7031.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7032.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7095.7,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Deegan,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7115.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7116.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pouliot,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7293.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Belanger,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7337.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jia Hu,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7556.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxime Gagnon,,08/11/2018,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,22.0,7693.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
