athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Jack Burnell,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6994.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6994.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6995.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6996.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6997.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6998.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6999.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,6999.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7000.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Graeme Edwards,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7000.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7003.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7007.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7007.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhongyi Qiao,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7009.5,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7010.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Paul Cotter,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7011.1,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7012.8,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Herwig,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7191.3,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyi Liu,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7194.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Otley-Doe,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7194.8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Yan Thorley,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7202.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lu Liu,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7207.3,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Sodemann,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7207.6,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reilly Kennedy,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7304.8,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyang Zhang,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7333.2,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junbohang Zhao,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7348.6,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunze Wang,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7353.2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei Jun Su,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7390.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozhao Zhang,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7393.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruoyu Wang,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7411.9,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gong Cheng,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7796.2,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zi Ce Pei,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7844.7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suebsakul Kumton,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,7902.2,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chin Ting Keith Sin,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,8062.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nattapon Intaratchaikij,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,8095.8,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chak Fung Lam,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,8184.7,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chun Hin Hui,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,8391.6,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siwat Matangkapong,,09/16/2018,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,42.0,8517.5,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
