athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Yohsuke Miyamoto,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeshi Toyoda,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Ivo Cassini,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Finco,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dany Pedro Caille,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Coelho Jose,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Rollo,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Betanzos,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiki Nonaka,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saurabh Sangvekar,,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
