athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Axel Reymond,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,1.0,883.1,1839.2,2684.4,3558.5,4345.0,5246.0,6015.0,6900.0,7705.0,8635.0,9469.0,10436.0,11262.0,12207.0,13061.0,13943.0,14861.0,15764.0,16645.0,17466.0,,,,,,,,,,
Kirill Belyaev,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,2.0,903.5,1851.5,2700.6,3568.1,4356.0,5262.0,6052.0,6912.0,7711.0,8633.0,9469.0,10432.0,11259.0,12199.0,13070.0,13944.0,14862.0,15760.0,16638.0,17467.0,,,,,,,,,,
Alessio Occhipinti,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,3.0,898.3,1859.8,2708.2,3572.3,4357.0,5260.0,6033.0,6908.0,7714.0,8629.0,9475.0,10435.0,11255.0,12204.0,13069.0,13939.0,14860.0,15758.0,16640.0,17470.0,,,,,,,,,,
Simone Ruffini,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,4.0,894.2,1869.8,2706.7,3565.4,4352.0,5255.0,6035.0,6910.0,7713.0,8630.0,9466.0,10427.0,11252.0,12200.0,13061.0,13943.0,14861.0,15766.0,16648.0,17475.0,,,,,,,,,,
Kai Graeme Edwards,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,5.0,895.5,1852.7,2713.5,3583.5,4359.0,5262.0,6061.0,6916.0,7718.0,8639.0,9470.0,10430.0,11256.0,12201.0,13065.0,13941.0,14862.0,15761.0,16642.0,17477.0,,,,,,,,,,
Evgenii Drattcev,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,6.0,892.7,1847.5,2701.8,3564.6,4353.0,5256.0,6041.0,6914.0,7716.0,8631.0,9469.0,10436.0,11256.0,12200.0,13074.0,13944.0,14866.0,15765.0,16643.0,17480.0,,,,,,,,,,
Alberto Martinez,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,7.0,904.5,1862.8,2714.8,3569.4,4339.0,5256.0,6050.0,6919.0,7719.0,8637.0,9472.0,10438.0,11263.0,12202.0,13066.0,13944.0,14866.0,15764.0,16650.0,17504.0,,,,,,,,,,
Andreas Waschburger,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,8.0,886.9,1855.5,2696.8,3558.6,4347.0,5264.0,6055.0,6916.0,7713.0,8632.0,9466.0,10440.0,11257.0,12202.0,13063.0,13952.0,14867.0,15769.0,16671.0,17546.0,,,,,,,,,,
Soren Dellef Meissner,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,9.0,891.9,1854.3,2703.3,3570.3,4352.0,5257.0,6046.0,6912.0,7717.0,8633.0,9470.0,10437.0,11261.0,12206.0,13072.0,13956.0,14869.0,15772.0,16697.0,17573.0,,,,,,,,,,
Gergely Gyurta,,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,24.0,,10.0,895.4,1863.6,2715.3,3566.3,4351.0,5262.0,6015.0,6903.0,7709.0,8640.0,9473.0,10438.0,11263.0,12197.0,13022.0,13881.0,14777.0,15733.0,16697.0,17578.0,,,,,,,,,,
