athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Gregorio Paltrinieri,ITA,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6690.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6701.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Wellbrock,GER,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6702.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,NED,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6703.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6705.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6706.4,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6709.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6715.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6715.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,ESP,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6716.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,HUN,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6724.7,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6725.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6726.3,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6726.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6727.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6738.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6743.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,ISR,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6754.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6766.6,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenii Drattcev,RUS,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6785.3,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruslan Sadykov,RUS,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6785.5,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6785.7,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6817.9,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ido Gal,ISR,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6842.8,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Hercog,AUT,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6843.2,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Straka,CZE,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6847.1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6848.9,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,UKR,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6850.2,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vit Ingeduld,CZE,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6947.2,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arti Krasniqi,KOS,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6952.4,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yonatan Ahdut,ISR,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,6990.4,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamas Farkas,SRB,05/13/2021,European Championships,"Budapest, HUN",10.0,NW,Neutral,33.0,7200.2,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
