athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Kristof Rasovszky,HUN,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6935.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6935.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6937.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6940.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6950.01,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6951.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,ISR,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6952.01,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zalan Sarkany,HUN,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6956.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6983.01,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6985.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6985.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6985.01,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6985.01,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6986.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Sanzullo,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,6990.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,7004.01,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,CAN,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,7058.01,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,03/24/2022,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,39.0,7076.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
