date,rank,rating
01/01/2017,64,0.0022980838363611
01/02/2017,64,0.0022978396520831
01/03/2017,64,0.0022975939667696
01/04/2017,64,0.0022973467663483
01/05/2017,64,0.002297098036568
01/06/2017,64,0.0022968477629961
01/07/2017,64,0.0022965959310155
01/08/2017,64,0.0022963425258218
01/09/2017,64,0.0022960875324202
01/10/2017,64,0.0022958309356222
01/11/2017,64,0.0022955727200428
01/12/2017,64,0.002295312870097
01/13/2017,64,0.0022950513699966
01/14/2017,64,0.0022947882037469
01/15/2017,64,0.0022945233551431
01/16/2017,64,0.0022942568077671
01/17/2017,64,0.0022939885449838
01/18/2017,64,0.0022937185499373
01/19/2017,64,0.0022934468055476
01/20/2017,64,0.0022931732945064
01/21/2017,64,0.0022928979992736
01/22/2017,64,0.002292620902073
01/23/2017,64,0.0022923419848887
01/24/2017,64,0.0022920612294609
01/25/2017,64,0.0022917786172813
01/26/2017,64,0.0022914941295896
01/27/2017,64,0.0022912077473683
01/28/2017,64,0.0022909194513392
01/29/2017,64,0.0022906292219579
01/30/2017,64,0.00229033703941
01/31/2017,64,0.0022900428836057
02/01/2017,64,0.0022897467341757
02/02/2017,64,0.0022894485704655
02/03/2017,64,0.002289148371531
02/04/2017,64,0.0022187811350871
02/05/2017,67,0.0018121326658815
02/06/2017,67,0.0018120310828756
02/07/2017,67,0.0018119288812708
02/08/2017,67,0.001811826055456
02/09/2017,67,0.0018117225997531
02/10/2017,67,0.0018116185084161
02/11/2017,67,0.0018115137756304
02/12/2017,67,0.0018114083955116
02/13/2017,67,0.0018113023621044
02/14/2017,66,0.0018111956693818
02/15/2017,66,0.0018110883112439
02/16/2017,66,0.001810980281517
02/17/2017,66,0.0018108715739521
02/18/2017,66,0.0018107621822246
02/19/2017,66,0.0018106520999323
02/20/2017,66,0.0018105413205949
02/21/2017,66,0.0018104298376524
02/22/2017,66,0.0018103176444646
02/23/2017,66,0.001810204734309
02/24/2017,66,0.00181022312514
02/25/2017,66,0.0018101089110453
02/26/2017,66,0.0018099939606215
02/27/2017,66,0.0018098782668249
02/28/2017,66,0.0018097618225241
03/01/2017,66,0.0018096446204991
03/02/2017,66,0.0018095266534392
03/03/2017,66,0.0018094079139425
03/04/2017,66,0.0018092883945139
03/05/2017,66,0.0018091680875642
03/06/2017,66,0.0018090469854085
03/07/2017,66,0.0018089250802646
03/08/2017,66,0.001808802364252
03/09/2017,66,0.0018086788293902
03/10/2017,66,0.0018085544675972
03/11/2017,65,0.002038755644991
03/12/2017,65,0.0020387452161148
03/13/2017,65,0.0020387344169748
03/14/2017,65,0.0020387232396842
03/15/2017,65,0.00203871167616
03/16/2017,65,0.0020386997181176
03/17/2017,65,0.0020386873570645
03/18/2017,65,0.0020386745842932
03/19/2017,65,0.0020386613908752
03/20/2017,65,0.0020386477676535
03/21/2017,65,0.0020386337052353
03/22/2017,65,0.0020386191939847
03/23/2017,65,0.0020386042240143
03/24/2017,65,0.0020385887851776
03/25/2017,65,0.0020385728670598
03/26/2017,67,0.0019664569496722
03/27/2017,67,0.0019663708436305
03/28/2017,67,0.0019662837970209
03/29/2017,67,0.001966195794523
03/30/2017,67,0.0019661068204613
03/31/2017,67,0.0019660168587936
04/01/2017,67,0.0019659258930995
04/02/2017,67,0.0019658379860289
04/03/2017,67,0.0019657490800779
04/04/2017,67,0.0019656591582047
04/05/2017,67,0.0019655682029504
04/06/2017,67,0.0019654761964248
04/07/2017,67,0.0019653831202918
04/08/2017,67,0.0019652889557533
04/09/2017,67,0.0019651936835335
04/10/2017,67,0.0019650972838615
04/11/2017,67,0.001964999736454
04/12/2017,67,0.0019649010204957
04/13/2017,67,0.0019648011146206
04/14/2017,67,0.0019646999968909
04/15/2017,67,0.0019645976447754
04/16/2017,67,0.0019644940351269
04/17/2017,67,0.0019643891441581
04/18/2017,67,0.0019642829474166
04/19/2017,67,0.001964175419758
04/20/2017,67,0.0019640665353186
04/21/2017,67,0.0019639562674851
04/22/2017,67,0.0019638445888639
04/23/2017,67,0.0019637314712482
04/24/2017,67,0.0019636168855831
04/25/2017,67,0.0019635008019285
04/26/2017,68,0.0019633831894207
04/27/2017,68,0.0019632640162302
04/28/2017,68,0.0019631432495187
04/29/2017,68,0.0019630208553916
04/30/2017,68,0.0019628967988491
05/01/2017,68,0.0019627710437331
05/02/2017,68,0.001962643552671
05/03/2017,68,0.0019625142870159
05/04/2017,68,0.0019623832067825
05/05/2017,68,0.0019622502705788
05/06/2017,68,0.0019621154355327
05/07/2017,68,0.001961978657214
05/08/2017,68,0.0019618398895501
05/09/2017,68,0.0019616990847355
05/10/2017,68,0.0019615561931353
05/11/2017,68,0.00196141116318
05/12/2017,68,0.0019612639412534
05/13/2017,68,0.0019611144715706
05/14/2017,68,0.0019609626960464
05/15/2017,68,0.001960808554153
05/16/2017,68,0.0019606519827657
05/17/2017,68,0.0019604929159944
05/18/2017,68,0.0019603312850018
05/19/2017,68,0.0019601670178037
05/20/2017,68,0.0019600000390518
05/21/2017,68,0.0019598302697966
05/22/2017,68,0.0019596576272257
05/23/2017,68,0.0019594820243788
05/24/2017,68,0.0019593033698325
05/25/2017,68,0.0019591215673532
05/26/2017,68,0.0019589365155137
05/27/2017,68,0.0019587481072687
05/28/2017,68,0.0019585562294835
05/29/2017,68,0.0019583607624094
05/30/2017,68,0.0019581615790991
05/31/2017,68,0.0019579585447522
06/01/2017,68,0.0019577515159825
06/02/2017,68,0.0019575403399927
06/03/2017,68,0.0019573248536449
06/04/2017,68,0.001957104882409
06/05/2017,68,0.0019568802391692
06/06/2017,68,0.0019566507228662
06/07/2017,68,0.0019564161169454
06/08/2017,68,0.001956176187579
06/09/2017,68,0.0019559306816201
06/10/2017,68,0.0019556793242403
06/11/2017,68,0.0019554218161891
06/12/2017,68,0.0019551578306034
06/13/2017,68,0.0019548870092741
06/14/2017,68,0.0019546089582589
06/15/2017,68,0.0019543232426999
06/16/2017,68,0.00195402938067
06/17/2017,68,0.0019537268358273
06/18/2017,68,0.0019534150085925
06/19/2017,68,0.0019530932254901
06/20/2017,68,0.0019527607261835
06/21/2017,68,0.0019524166475973
06/22/2017,68,0.0019520600043245
06/23/2017,68,0.0019516896642592
06/24/2017,71,0.0018885795706435
06/25/2017,71,0.0018882019452128
06/26/2017,71,0.0018878091881427
06/27/2017,71,0.0018873996751831
