date,rank,rating
02/03/2024,220,0.0005238733475773
02/04/2024,220,0.0005239104200772
02/05/2024,220,0.0005239460575783
02/06/2024,220,0.0005239810029684
02/07/2024,229,0.000506626506496
02/08/2024,229,0.0005066525789888
02/09/2024,229,0.0005066788599511
02/10/2024,229,0.0005067051001259
02/11/2024,229,0.0005067312572156
02/12/2024,229,0.0005067573202103
02/13/2024,229,0.0005067832880349
02/14/2024,229,0.0005068091633749
02/15/2024,229,0.0005068349503844
02/16/2024,229,0.0005068606537195
02/17/2024,229,0.0005068862781043
02/18/2024,229,0.0005069118281306
02/19/2024,229,0.00050693730817
02/20/2024,229,0.0005069627223408
02/21/2024,229,0.0005069880745015
02/22/2024,229,0.0005070133682585
02/23/2024,229,0.0005070386069804
02/24/2024,229,0.0005070637938136
02/25/2024,229,0.0005070889317006
02/26/2024,229,0.0005071140233957
02/27/2024,229,0.0005071390714811
02/28/2024,229,0.0005071640783814
02/29/2024,229,0.0005071890463767
03/01/2024,229,0.0005072139776149
03/02/2024,229,0.0005072388741224
03/03/2024,229,0.0005072637378142
03/04/2024,229,0.0005072885705025
03/05/2024,229,0.000507313373905
03/06/2024,229,0.0005073381496519
03/07/2024,229,0.0005073628992928
03/08/2024,229,0.0005073876243024
03/09/2024,229,0.0005074123260861
03/10/2024,229,0.0005074370059847
03/11/2024,229,0.0005074616652789
03/12/2024,229,0.0005074863051935
03/13/2024,229,0.000507510926901
03/14/2024,229,0.0005075355315252
03/15/2024,229,0.0005075601201439
03/16/2024,229,0.0005075846937921
03/17/2024,229,0.0005076092534645
03/18/2024,229,0.0005076338001181
03/19/2024,229,0.000507658334674
03/20/2024,229,0.0005076828580199
03/21/2024,229,0.0005077073710119
03/22/2024,229,0.000507731874476
