name,pagerank,rank
Ana Marcela Cunha,0.08020650327353754,1
Rachele Bruni,0.05804632459433213,2
Arianna Bridi,0.05625065909848747,3
Leonie Beck,0.047797807275326426,4
Haley Anderson,0.045768908810840635,5
Sharon Van Rouwendaal,0.03719937097632818,6
Kareena Lee,0.03200977015362095,7
Finnia Wunram,0.030842146861629494,8
Xin Xin,0.029843939117317995,9
Lara Grangeon De Villele,0.025444936947980577,10
Aurelie Muller,0.02038229104349496,11
Giulia Gabbrielleschi,0.017387572200684067,12
Samantha Arevalo,0.016780266403188977,13
Ashley Twichell,0.015580424728934861,14
Angelica Andre,0.015176739629045926,15
Anna Olasz,0.014396739302616762,16
Esmee Vermeulen,0.012735864523345436,17
Viviane Jungblut,0.010896419092027243,18
Martina De Memme,0.010602329571137497,19
Paula Ruiz Bravo,0.009548034067233015,20
Lea Boy,0.009458587643998002,21
Chelsea Gubecka,0.009012285707892,22
Hannah Moore,0.008944064864411204,23
Yawen Hou,0.008151529308916097,24
Alice Dearing,0.007714871911226297,25
Oceane Cassignol,0.006999004594040267,26
Danielle Huskisson,0.0065723521385990386,27
Alena Benesova,0.006502767101033835,28
Reka Rohacs,0.006215495663339642,29
Chloe Gubecka,0.005563550555680617,30
Onon Katalin Somenek,0.005525195306210074,31
Yumi Kida,0.005347781226985719,32
Barbara Pozzobon,0.00528685021151223,33
Maria De Valdes,0.004893794385589856,34
Angela Maurer,0.004707498291537676,35
Mackenzie Brazier,0.004700512658965703,36
Spela Perse,0.0041596258153662954,37
Caroline Laure Jouisse,0.004136815535093141,38
Yukimi Moriyama,0.00411143920242622,39
Fuwei Dong,0.003933126173192193,40
Svenja Zihsler,0.0035930407572341734,41
Lisa Pou,0.003521148486395039,42
Erica Sullivan,0.003483692131195863,43
Kalliopi Araouzou,0.0034735581208714564,44
Minami Niikura,0.003471252674152258,45
Maria Bramont-Arias,0.0033515263800521075,46
Eva Fabian,0.0033468632214717305,47
Ellen Olsson,0.003232541825552688,48
Valeriia Ermakova,0.0031963380262298893,49
Anastasiia Krapivina,0.0031223978734221717,50
Jeannette Spiwoks,0.003114319140778807,51
Katy Campbell,0.003093261067408394,52
Sarah Bosslet,0.003012132383500454,53
Melinda Novoszath,0.0029049371174878383,54
Mariia Novikova,0.00285061666600616,55
Muran Tian,0.002768317617314605,56
Chase Travis,0.002715512982234281,57
Morgane Dornic,0.0025163236685598733,58
Adeline Furst,0.0024421539874427507,59
Sofia Kolesnikova,0.0023971205722804934,60
Stephanie Horner,0.0023936567658276345,61
Julia Arino,0.0023719961938713945,62
Serena Stel,0.0023637565213775282,63
Cecilia Biagioli,0.0023601986807371576,64
Krystyna Panchishko,0.002350113186920483,65
Ginevra Taddeucci,0.002205188729247459,66
Veronica Santoni,0.0020805453317287756,67
Madisyn Armstrong,0.0020684174743843347,68
Madelon Catteau,0.0020122752417555336,69
Eden Girloanta,0.0019730945437078057,70
Justyna Burska,0.001879380140835023,71
Lenka Sterbova,0.0018600075292737731,72
Michelle Weber,0.001844127438230245,73
Maria Babkina,0.0017595267529849632,74
Mafalda Rosa,0.0017268571600219202,75
Olga Kozydub,0.0017124240614876404,76
Maisie Emily Macartney,0.0016633233079884108,77
Maria Vilas,0.0016164194891708414,78
Claire Six,0.0015799709905507935,79
Helvina Huet,0.001568427070695035,80
Aurora Ponsele,0.0015470824034410603,81
Alice Franco,0.0015463821970601325,82
Ekaterina Sorokina,0.0015250099794875186,83
Nikolett Szilagyi,0.0015072414559736459,84
Ilona Maille,0.0014388402949275273,85
Siyu Yan,0.0013965751193102292,86
Martina Grimaldi,0.0013924760313596372,87
Yana Kurtseva,0.0013887640560538946,88
Celia Heurtaux,0.0013709554265487426,89
Daria Volobueva,0.0013605072994575958,90
