athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Aurelie Muller,FRA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7213.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7217.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7217.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7217.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7218.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Anderson,USA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7225.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnia Wunram,GER,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7226.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7228.4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Gubecka,AUS,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7230.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Twichell,USA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7241.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Xin,CHN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7265.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle Huskisson,GBR,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7266.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siyu Yan,CHN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7266.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7266.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Maurer,GER,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7313.3,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiia Krapivina,RUS,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7315.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7315.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Ruiz Bravo,ESP,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7327.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareena Lee,AUS,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7328.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukimi Moriyama,JPN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7333.3,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia Biagioli,ARG,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7343.6,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceane Cassignol,FRA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7381.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7386.6,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spela Perse,SLO,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7452.7,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Dearing,GBR,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7464.4,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalliopi Araouzou,GRE,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7465.7,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onon Katalin Somenek,HUN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7481.2,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie Horner,CAN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7488.1,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nataly Caldas Calle,ECU,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7490.1,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria De Valdes,ESP,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7494.4,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justyna Burska,POL,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7633.6,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade Dusablon,CAN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7636.8,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Kulik,RUS,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7638.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Arino,ARG,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7640.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7640.4,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alena Benesova,CZE,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7678.5,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenka Sterbova,CZE,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7712.9,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha Aguilar Ortega,MEX,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7715.2,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souad Nefissa Cherouati,ALG,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7718.1,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Webby,NZL,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7721.4,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vania Neves,POR,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7779.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Bramont-Arias,PER,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7779.6,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robyn Kinghorn,RSA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7885.8,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xeniya Romanchuk,KAZ,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7894.4,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doris Beros,CRO,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7914.4,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahina Nicole Valdivia Dannenberg,CHI,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7915.1,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reem Kaseem,EGY,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7917.4,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krystyna Panchishko,UKR,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,7932.5,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruthseli Guadalupe Aponte Teran,VEN,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8079.5,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha-Lee Nordengen-Corris,RSA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8083.4,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelena Jecanski,SRB,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8170.6,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryna Kyryk,UKR,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8222.2,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha Sandoval,MEX,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8268.2,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima Flores,ESA,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8327.9,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoi Man Lok,HKG,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8359.3,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karolina Dubcakova,SVK,7/16/2017,FINA World Championships,"Budapest, HUN",10.0,NW,Neutral,62.0,8797.8,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
