athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Ana Marcela Cunha,BRA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18483.0,1.0
Finnia Wunram,GER,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18491.6,2.0
Lara Grangeon De Villele,FRA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18501.2,3.0
Lisa Pou,FRA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18508.4,4.0
Erica Sullivan,USA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18683.2,5.0
Anna Olasz,HUN,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18711.5,6.0
Arianna Bridi,ITA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18712.6,7.0
Onon Katalin Somenek,HUN,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18714.7,8.0
Katy Campbell,USA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18719.6,9.0
Samantha Arevalo,ECU,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18742.1,10.0
Sofia Kolesnikova,RUS,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18750.0,11.0
Lea Boy,GER,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18760.6,12.0
Barbara Pozzobon,ITA,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,18773.7,13.0
Luomeng Ren,CHN,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,19933.1,14.0
Lenka Sterbova,CZE,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,20719.3,15.0
Fang Qu,CHN,07/18/2019,FINA World Championships,"Gwangju, KOR",25.0,NW,Neutral,20.0,21552.3,16.0
