athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Leonie Beck,GER,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7354.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Gubecka,AUS,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7358.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Grimes,USA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7362.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7362.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7362.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginevra Taddeucci,ITA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7366.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7392.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariah Denigan,USA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7393.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bettina Fábián,HUN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7395.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giulia Gabbrielleschi,ITA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7395.7,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Martinez Guillen,ESP,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7396.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7396.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiia Kirpichnikova,RUS,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7397.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candela Sanchez Lora,ESP,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7398.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7398.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceane Cassignol,FRA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7405.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mafalda Rosa,POR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7405.9,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Chloe Keegan,GBR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7410.3,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martha Sandoval,MEX,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7424.8,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia Biagioli,ARG,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7427.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spela Perse,SLO,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7428.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Bramont-Arias,PER,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7451.9,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeline Claire Gough,AUS,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7458.6,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leah Crisp,GBR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7503.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Fabian,ISR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7505.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7505.8,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiake Sun,CHN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7506.1,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airi Ebina,JPN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7508.4,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Yin Nip,HKG,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7626.3,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Finlin,CAN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7629.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paola Perez,VEN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7631.7,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alena Benesova,CZE,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7644.3,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanano Kato,JPN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7646.4,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-Shan Chantal Liew,SGP,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7668.5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shutong Wu,CHN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7736.7,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candela Giordanino,ARG,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7747.2,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenka Sterbova,CZE,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7776.5,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey O'Regan,CAN,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7808.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac Tung Nikita Lam,HKG,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7808.8,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amica De Jager,RSA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7831.9,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu-Wen Teng,TPE,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7871.1,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hae Rim Lee,KOR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7963.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamees Elsokkary,EGY,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7969.6,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulina Alanis Hernandez,MEX,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7996.7,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diana Taszhanova,KAZ,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,7996.7,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadine Karim,EGY,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8009.1,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeongmin Lee,KOR,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8021.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimpun Choopong,THA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8303.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britta Schwengle,ARU,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8351.9,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiya Zelinskaya,UZB,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8353.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tory Earle,RSA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8367.7,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Porres,GUA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8518.3,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thitirat Charoensup,THA,07/15/2023,FINA World Championships,"Fukuoka, JPN",10.0,NW,Neutral,61.0,8537.3,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
