athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Nikolett Szilagyi,HUN,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7453.094688,1
Ginevra Taddeucci,ITA,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7455.04992,2
Anastasiia Krapivina,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7455.060288,3
Martina Grimaldi,ITA,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7461.040032,4
Valeriia Ermakova,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7461.070272,5
Mariia Novikova,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7461.079776,6
Alena Benesova,CZE,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7462.014624,7
Daria Kulik,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7463.02464,8
Maria Babkina,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7464.050208,9
Sofia Kolesnikova,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7465.015296,10
Serena Stel,NED,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7471.054656,11
Ellen Olsson,SWE,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7475.049792,12
Eden Girloanta,ISR,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7476.070176,13
Daria Volobueva,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7478.029728,14
Alisa Skorliakov,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7480.044576,15
Spela Perse,SLO,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7481.00016,16
Ekaterina Sorokina,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7481.020032,17
Fraenzi Heinrich,GER,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7504.055136,18
Yana Kurtseva,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7508.084832,19
Polina Kharitonova,RUS,03/25/2018,LEN Cup,"Eilat, ISR",10,NW,Neutral,33,7510.020192,20
