name,pagerank,rank
Marc-Antoine Olivier,0.09405974232281157,1
Ferry Weertman,0.08555301053327938,2
Jack Burnell,0.06178698314076373,3
Simone Ruffini,0.046917603160757645,4
Spyridon Gianniotis,0.0413327194421367,5
Federico Vanelli,0.030892874912866276,6
David Aubry,0.028961102306964772,7
Christian Reichert,0.02594653408393126,8
Andreas Waschburger,0.025885126104265972,9
Kirill Abrosimov,0.02113906101009347,10
Rob Muffels,0.02076893135110046,11
Allan Do Carmo,0.018705302710291964,12
Marcel Schouten,0.018301515340853895,13
Axel Reymond,0.015694950652339203,14
Evgenii Drattcev,0.014960131535777544,15
Lijun Zu,0.013795246041802869,16
Matteo Furlan,0.013671611565221866,17
Chip Peterson,0.011930686482069694,18
Kristof Rasovszky,0.011333698549051582,19
Diogo Villarinho,0.010927186240452847,20
Jordan Wilimovsky,0.010561576932507331,21
Richard Weinberger,0.010350279862882082,22
Mark Papp,0.010068002621546175,23
Caleb Hughes,0.009655265726585165,24
Damien Cattin-Vidal,0.009247518044357372,25
Yasunari Hirai,0.009105033135910774,26
Pepijn Smits,0.008472099789111958,27
Soeren Meissner,0.008108473565321031,28
Logan Fontaine,0.007496576245790709,29
Chad Ho,0.0071365731911841165,30
Jack Brazier,0.006437220429374595,31
Vitaliy Khudyakov,0.006327324440772449,32
Ivan Enderica Ochoa,0.0056594891649050716,33
Philippe Guertin,0.005594769212971182,34
Sean Ryan,0.005131366789357652,35
Guillermo Bertola,0.004872421486291683,36
Ventsislav Aydarski,0.004653008144630076,37
Daniel Szekelyi,0.004396064109896296,38
Evgenij Pop Acev,0.004356193340104274,39
Andrea Manzi,0.0041374288934114605,40
Yohsuke Miyamoto,0.004051583790832959,41
Aleksandr Astapov,0.003956154694530288,42
Alex Meyer,0.003945065099198206,43
Simon Huitenga,0.0039414546808580865,44
Gergely Gyurta,0.0037539665546257855,45
Kirill Belyaev,0.0034205036677686022,46
Ous Mellouli,0.0033605379175975967,47
Sergey Bolshakov,0.0032508563437279848,48
Roman Karyakin,0.003213721144968045,49
Benjamin Brantu,0.0031687871926626477,50
Eric Hedlin,0.003164849836817625,51
Patrik Rakos,0.0031001510079591856,52
Anton Evsikov,0.003007277994613424,53
Esteban Enderica Salgado,0.0025201684980118,54
Joaquin Moreno,0.002520011681506622,55
Jingwei Weng,0.002507374209529429,56
Santiago Enderica,0.0024652509246359524,57
Nicolas Masse-Savard,0.002388446927984762,58
Mateusz Sawrymowicz,0.0023472205403142475,59
Zhongyi Qiao,0.0023104392216141537,60
Diego Vera,0.0023010676354775148,61
Raul Santiago Betancor,0.002235761746222213,62
David Heron,0.002207960215585507,63
Marcus Herwig,0.0021591554655461223,64
Damian Blaum,0.002147066125434711,65
Xavier Desharnais,0.0021178229035070436,66
Daniel Delgadillo,0.0020415537378280137,67
Moritz Andreas Bartels,0.0020411020464845752,68
Jiabao An,0.0020236792183087084,69
