athlete_name,date,event,location,distance,current_type,temp,field_size,place
Marc-Antoine OLIVIER,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,1
Jack BURNELL,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,2
Simone RUFFINI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,3
Evgenii DRATTCEV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,4
Axel REYMOND,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,5
Christian REICHERT,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,6
Andreas WASCHBURGER,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,7
Ferry WEERTMAN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,8
Allan DO CARMO,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,9
Mark PAPP,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,10
Kirill ABROSIMOV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,11
Spyridon GIANNIOTIS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,12
Damien CATTIN-VIDAL,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,13
Gergely GYURTA,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,14
Matteo FURLAN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,15
Kirill BELYAEV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,16
Logan FONTAINE,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,17
Roman KARYAKIN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,18
Chad HO,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,19
Anton EVSIKOV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,20
Caleb HUGHES,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,21
David AUBRY,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,22
Patrik RAKOS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,23
Mateusz SAWRYMOWICZ,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,24
Yasunari HIRAI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,25
Marcel SCHOUTEN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,26
Ventsislav AYDARSKI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,27
Sergey BOLSHAKOV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,28
Federico VANELLI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,29
Daniel SZEKELYI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,30
Jan KUTNIK,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,31
Artem PODYAKOV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,32
Ivan AFANEVICH,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,33
Bailey ARMSTRONG,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,34
Matthias SCHWEINZER,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,35
Vitaliy KHUDYAKOV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,36
Thore BERMEL,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,37
Diogo VILLARINHO,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,38
Igor CHERVYNSKIY,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,39
Krzysztof PIELOWSKI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,40
Rob MUFFELS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,41
Yann CORBEL,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,42
Christopher BRYAN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,43
Attila KISS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,44
Simon HUITENGA,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,45
Benjamin BRANTU,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,46
Pepijn SMITS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,47
Igor SNITKO,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,48
Volodymyr VORONKO,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,49
Pol GIL,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,50
Antonio ARROYO,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,51
Evgenij POP ACEV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,52
Farid ZITOUNI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,53
Adel ELBEHIRY,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,54
Tobias Patrick ROBINSON,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,55
Victor JOHANSSON,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,56
Raul SANTIAGO BETANCOR,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,57
Hugo CHOPINEAU,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,58
Davy BILLIAU,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,59
Denis ADEEV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,60
Kai Graeme EDWARDS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,61
Valentin BERNARD,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,62
Sebastian KARAS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,63
Tomi STEFANOVSKI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,64
Mohamed HEGAZY,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,65
Youssef Hossameldeen Khalil HOSSAMELDEEN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,66
