athlete_name,date,event,location,distance,current_type,temp,field_size,place
Lijun ZU,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,1.0
Christian REICHERT,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,2.0
Ivan ENDERICA OCHOA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,3.0
Evgenii DRATTCEV,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,4.0
Ous MELLOULI,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,5.0
Richard NAGY,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,6.0
Jarrod POORT,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,7.0
Andreas WASCHBURGER,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,8.0
Simon HUITENGA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,9.0
Yasunari HIRAI,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,10.0
Chad HO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,11.0
Ventsislav AYDARSKI,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,12.0
Esteban ENDERICA SALGADO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,13.0
Mark PAPP,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,14.0
Antonio ARROYO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,15.0
Kirill ABROSIMOV,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,16.0
Yohsuke MIYAMOTO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,17.0
Erwin MALDONADO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,18.0
Kane Rae Francis RADFORD,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,19.0
Igor CHERVYNSKIY,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,20.0
Jan MICKA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,21.0
Shuyi LIU,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,22.0
Guillermo BERTOLA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,23.0
Vitaliy KHUDYAKOV,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,24.0
Damian BLAUM,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,25.0
Arturo PEREZ VERTTI FERRER,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,26.0
Gustavo GUTIERREZ,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,27.0
Rafael GIL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,28.0
Mateusz SAWRYMOWICZ,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,29.0
Evgenij POP ACEV,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,30.0
Marwan ELAMRAWY,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,31.0
Daniel DELGADILLO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,32.0
Davy BILLIAU,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,33.0
Phillip RYAN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,34.0
Krzysztof PIELOWSKI,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,35.0
Vasco GASPAR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,36.0
Igor SNITKO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,37.0
Matthias SCHWEINZER,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,38.0
Troyden PRINSLOO,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,39.0
Yuval SAFRA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,40.0
Christopher BRYAN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,41.0
Haythem ABDELKHALEK,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,42.0
Pol GIL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,43.0
Jan KUTNIK,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,44.0
Tamas FARKAS,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,45.0
Matthew LOWE,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,46.0
Oskar NORDSTRAND,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,47.0
Soon Choy Kevin YEAP,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,48.0
Youssef Hossameldeen Khalil HOSSAMELDEEN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,49.0
Kenessary KENENBAYEV,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,50.0
Singha CHAU,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,51.0
Chin Ting Keith SIN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,52.0
Said SABER,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10.0,Current,Cold,61.0,53.0
