athlete_name,date,event,location,distance,current_type,temp,field_size,place
Philippe GUERTIN,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,1
Chip PETERSON,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,2
Andreas WASCHBURGER,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,3
Eric HEDLIN,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,4
Richard WEINBERGER,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,5
Pepijn SMITS,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,6
Damien CATTIN-VIDAL,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,7
Christian REICHERT,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,8
Santiago ENDERICA,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,9
Nicolas MASSE-SAVARD,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,10
Diogo VILLARINHO,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,11
Davy BILLIAU,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,12
Xavier DESHARNAIS,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,13
Edouard BELANGER,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,14
Aleksandar ILIEVSKI,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,15
Aquiles BALAUDO,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,16
Tristan FILION,06/28/2016,FINA World Cup,"Roberval, CAN",10.0,No Current,Cold,20.0,17
Alex MEYER,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,18
Edoardo STOCHINO,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,19
Tomi STEFANOVSKI,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,20
Edouard LEHOUX,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,21
Evgenij POP ACEV,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,22
Aquiles BALAUDO,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,23
Bertrand VENTURI,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,24
Xavier DESHARNAIS,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,25
Aleksandar ILIEVSKI,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,26
Gabriel POULIOT,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,27
Simon PASTOR,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,28
Xavier THEROUX,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,No Current,Cold,16.0,29
