athlete_name,date,event,location,distance,current_type,temp,field_size,place
Marc-Antoine OLIVIER,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,1.0
Mario SANZULLO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,2.0
Timothy SHUTTLEWORTH,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,3.0
Kirill ABROSIMOV,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,4.0
Fernando PONTE,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,5.0
Andrea MANZI,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,6.0
Kristof RASOVSZKY,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,7.0
Logan FONTAINE,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,8.0
Vitaliy KHUDYAKOV,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,9.0
David HERON,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,10.0
Chad HO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,11.0
Krzysztof PIELOWSKI,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,12.0
Logan VANHUYS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,13.0
Eric HEDLIN,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,14.0
Antonio ARROYO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,15.0
Tobias Patrick ROBINSON,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,16.0
Andrew GEMMELL,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,17.0
Marwan ELAMRAWY,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,18.0
David FARINANGO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,19.0
Ventsislav AYDARSKI,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,20.0
Johndry SEGOVIA,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,21.0
Danie MARAIS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,22.0
Jack Alan MCLOUGHLIN,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,23.0
Ivan ENDERICA OCHOA,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,24.0
Matan RODITI,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,25.0
Marcus HERWIG,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,26.0
Igor CHERVYNSKIY,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,27.0
Ruwen STRAUB,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,28.0
Georgios ARNIAKOS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,29.0
Tamas FARKAS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,30.0
Mark PAPP,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,31.0
Kirill BELYAEV,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,32.0
Yasunari HIRAI,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,33.0
Yohsuke MIYAMOTO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,34.0
Idan MORDEL,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,35.0
Matej KOZUBEK,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,36.0
Asterios DALDOGIANNIS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,37.0
David BRANDL,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,38.0
Igor SNITKO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,39.0
Victor COLONESE,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,40.0
Vit INGEDULD,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,41.0
Phillip SEIDLER,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,42.0
Juan Jose SEGOVIA RAMOS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,43.0
Zibin ZHANG,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,44.0
Haythem ABDELKHALEK,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,45.0
Fernando BETANZOS,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,46.0
Pedro PINOTES,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,47.0
Rodrigo CABALLERO,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,48.0
Adel ELBEHIRY,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,49.0
Chin Ting Keith SIN,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,50.0
Alfredo VILLA MEJIA,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,51.0
Shuyi LIU,07/15/2017,FINA World Championships 5km,"Budapest, HUN",5.0,No Current,Neutral,62.0,52.0
