athlete_name,date,event,location,distance,current_type,temp,field_size,place
Alexander STUDZINSKI,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,1
Evgenij POP ACEV,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,2
Guillermo BERTOLA,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,3
Edoardo STOCHINO,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,4
Damian BLAUM,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,5
Xavier DESHARNAIS,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,6
Matheus EMERIM EVANGELISTA,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,7
Bertrand VENTURI,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,8
Edouard LEHOUX,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,9
Aleksandar ILIEVSKI,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,10
Aquiles BALAUDO,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,11
Nicolas PROVENZANO,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,12
Matias DIAZ HERNANDEZ,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,13
Aleksandar PANCEVSKI,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,No Current,Neutral,15,14
