athlete_name,date,event,location,distance,current_type,temp,field_size,place
Rob MUFFELS,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,1.0
Ferry WEERTMAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,2.0
Allan DO CARMO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,3.0
Jordan WILIMOVSKY,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,4.0
Christian REICHERT,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,5.0
Logan FONTAINE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,6.0
Simone RUFFINI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,7.0
Kristof RASOVSZKY,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,8.0
Lachlan COLQUHOUN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,9.0
Simon HUITENGA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,10.0
Marcel SCHOUTEN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,11.0
Kai Graeme EDWARDS,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,12.0
Diogo VILLARINHO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,13.0
Fernando PONTE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,14.0
Pepijn SMITS,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,15.0
Federico VANELLI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,16.0
Matej KOZUBEK,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,17.0
Andreas WASCHBURGER,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,18.0
Simon LAMAR,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,19.0
Tobias Patrick ROBINSON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,20.0
Yasunari HIRAI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,21.0
Taishin MINAMIDE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,22.0
Shahar RESMAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,23.0
Alberto MARTINEZ,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,24.0
Ventsislav AYDARSKI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,25.0
Soeren MEISSNER,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,26.0
Ivan ENDERICA OCHOA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,27.0
Axel REYMOND,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,28.0
Theodore SMITH,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,29.0
Oliver SIGNORINI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,30.0
Jack BRAZIER,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,31.0
Matan RODITI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,32.0
Kirill ABROSIMOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,33.0
Aleksandr ASTAPOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,34.0
Yuval SAFRA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,35.0
Bailey ARMSTRONG,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,36.0
Krzysztof PIELOWSKI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,37.0
Hau-Li FAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,38.0
Gaspar ANDRADE BUDINO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,39.0
David HERON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,40.0
Vitaliy KHUDYAKOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,41.0
Taiki NONAKA,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,42.0
Michael BRINEGAR,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,43.0
Shai TOLEDANO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,44.0
Ellito SODEMANN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,45.0
Clement BATTE,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,46.0
Jiabao AN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,47.0
Solomon WRIGHT,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,48.0
Artem MAMUSHKIN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,49.0
Jeremias MUNOZ,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,50.0
Brennan GRAVLEY,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,51.0
Yosuke AOKI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,52.0
Katelnikof Alexander DAWSON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,53.0
Lev CHEREPANOV,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,54.0
Stanislav REDKO,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,55.0
Ching Leung Sunny POON,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,56.0
Chun Hin HUI,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,57.0
Ho Yin KWAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,58.0
Lok Yin LAW,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,59.0
Chun Hei Bryan LEUNG,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,60.0
Tsz Ho TSANG,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,61.0
Ka Lung KWAN,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,62.0
Chung Kiu YAU,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,63.0
Chak Fung LAM,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,64.0
Singha CHAU,10/21/2017,FINA World Cup,"Hong Kong, CHN",10.0,No Current,Neutral,66.0,65.0
