athlete_name,date,event,location,distance,current_type,temp,field_size,place
Simone RUFFINI,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,1.0
Jack BURNELL,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,2.0
Rob MUFFELS,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,3.0
Andrea MANZI,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,4.0
Ferry WEERTMAN,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,5.0
Matteo FURLAN,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,6.0
Mario SANZULLO,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,7.0
Andreas WASCHBURGER,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,8.0
Christian REICHERT,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,9.0
Marcel SCHOUTEN,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,10.0
Soeren MEISSNER,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,11.0
Kristof RASOVSZKY,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,12.0
Diogo VILLARINHO,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,13.0
Hau-Li FAN,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,14.0
Pepijn SMITS,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,15.0
Vitaliy KHUDYAKOV,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,16.0
Chad HO,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,17.0
Allan DO CARMO,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,18.0
Fernando PONTE,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,19.0
Nicolas MASSE-SAVARD,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,20.0
Tobias Patrick ROBINSON,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,21.0
Kenessary KENENBAYEV,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,22.0
Damien PAYET,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,23.0
Bertrand PAYET,05/20/2018,FINA World Cup,"Seychelles, SEY",10.0,No Current,Neutral,26.0,24.0
