athlete_name,date,event,location,distance,current_type,temp,field_size,place
Jack BURNELL,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,1
Rob MUFFELS,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,2
Gregorio PALTRINIERI,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,3
Ferry WEERTMAN,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,4
Kristof RASOVSZKY,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,5
Simone RUFFINI,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,6
Sören Dellef Meissner,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,7
Matteo FURLAN,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,8
Allan DO CARMO,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,9
Kai Graeme EDWARDS,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,10
Christian REICHERT,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,11
Fernando PONTE,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,12
Tobias Patrick ROBINSON,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,13
Zhongyi QIAO,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,14
Marcel SCHOUTEN,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,15
Hayden Paul COTTER,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,16
Vitaliy KHUDYAKOV,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,17
Marcus HERWIG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,18
Shuyi LIU,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,19
James OTLEY-DOE,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,20
William Yan THORLEY,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,21
Lu LIU,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,22
Elliot SODEMANN,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,23
Reilly KENNEDY,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,24
Ziyang ZHANG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,25
Junbohang ZHAO,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,26
Yunze WANG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,27
Wei Jun SU,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,28
Bozhao ZHANG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,29
Ruoyu WANG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,30
Gong CHENG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,31
Zi Ce PEI,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,32
Suebsakul KUMTON,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,33
Chin Ting Keith SIN,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,34
Nattapon INTARATCHAIKIJ,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,35
Chak Fung LAM,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,36
Chun Hin HUI,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,37
Siwat MATANGKAPONG,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,38
Kenessary KENENBAYEV,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,39
Abdelrahman MOHAMED,9/16/2018,FINA World Cup,"Chun'An, CHN",10,No Current,Neutral,42,40
