athlete_name,date,event,location,distance,current_type,temp,field_size,place
Marc-Antoine Olivier,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,1
David Aubry,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,2
Kirill Abrosimov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,3
Logan Fontaine,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,4
Jack Burnell,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,5
Rob Muffels,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,6
Tobias Patrick Robinson,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,7
Matan Roditi,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,8
Axel Reymond,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,9
Logan Vanhuys,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,10
Mario Sanzullo,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,11
Damien Joly,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,12
Kirill Belyaev,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,13
Yuval Safra,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,14
Simone Ruffini,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,15
Anton Evsikov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,16
Daniel Szekelyi,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,17
Andreas Waschburger,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,18
Nathan Hughes,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,19
Shahar Resman,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,20
Matej Kozubek,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,21
Hector Thomas Cheal Pardoe,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,22
Krzysztof Pielowski,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,23
Artem Mamushkin,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,24
Ido Gal,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,25
Guillem Pujol,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,26
Vit Ingeduld,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,27
Aleksandr Astapov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,28
Denis Adeev,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,29
Joris Bouchaut,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,30
Alexis Vandevelde,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,31
Ruslan Sadykov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,32
Idan Mordel,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,33
Clement Kukla,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,34
Jean-Baptiste Clusman,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,35
Igor Chervynskiy,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,36
Lars Bottelier,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,37
Shai Toledano,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,38
Vladislav Utrobin,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,39
Clement Batte,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,40
Hugo Saillard,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,41
Peter Galicz,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,42
Roman Kozhevnikov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,43
Maxence Dessoit,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,44
Naim Mokhfi,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,45
Ilia Okorokov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,46
Jan Adrian Urbaniak,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,47
Roger Coma,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,48
Alexandre Verplaetse,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,49
Eric Villaregut De Mingo,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,50
Marin Debril,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,51
Mattias Glenesk,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,52
Aubin Coccordano,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,53
Jules Wallart,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,54
Ziv Cohen,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,55
Leo Ouabdesselam,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,56
Sebastien Dureux,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,57
Tomas Peciar,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,58
Daniel Polishschuk,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,59
Leo Teule,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,60
Clement Cabioch,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,61
Nicolas Ioannides,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,62
Jakov Igrec,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,63
Ariel Korobov,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,64
Leonard Lajcuk,03/31/2019,LEN Cup,"Eilat, ISR",10,No Current,Neutral,70,65
