athlete_name,date,event,location,distance,current_type,temp,field_size,place
Athanasios Kynigakis,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,1
Daniel Szekelyi,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,2
Yuval Safra,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,3
Artem Mamushkin,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,4
Matej Kozubek,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,5
Andrea Manzi,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,6
Idan Mordel,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,7
Asterios Daldogiannis,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,8
Vladislav Utrobin,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,9
Tiago Campos,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,10
Rafael Gil,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,11
Evgenij Pop Acev,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,12
Andrea Bianchi,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,13
Ilia Okorokov,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,14
Dmitri Titov,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,15
Aleksandr Astapov,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,16
Vojislav Sterba,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,17
Martin Straka,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,18
Aleksandar Ilievski,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,19
Davor Petrovski,08/18/2019,LEN Cup,"Ohrid Lake, MKD",10,No Current,Neutral,20,20
