athlete_name,date,event,location,distance,current_type,temp,field_size,place
Sören Dellef Meissner,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,1
Yuval Safra,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,2
Denis Adeev,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,3
Matej Kozubek,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,4
Vladislav Utrobin,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,5
Aleksandr Astapov,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,6
Aron Schmidt,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,7
Artem Mamushkin,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,8
Vit Ingeduld,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,9
Vojislav Sterba,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,10
Mattias Glenesk,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,11
Christopher Jedel,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,12
Frederik Bojesen,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,13
Nicholas James Malan,08/31/2019,LEN Cup,"Copenhagen, DEN",6,No Current,Neutral,14,14
