athlete_name,date,event,location,distance,current_type,temp,field_size,place
Florian Wellbrock,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,1
Domenico Acerenza,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,2
Gregorio Paltrinieri,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,3
Kristof Rasovszky,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,4
Oliver Klemet,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,5
Marcel Schouten,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,6
Andrea Manzi,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,7
Dario Verani,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,8
Daniel Szekelyi,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,9
Marc-Antoine Olivier,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,10
Axel Reymond,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,11
Guillem Pujol,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,12
Ben Langner,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,13
Matthieu Magne,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,14
Angel De Oña Ramirez,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,15
Vincent Crooijmans,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,16
Alejandro Puebla Martinez,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,17
Elliot Sodemann,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,18
Sander Crooijmans,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,19
Raul Santiago Betancor,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,20
Pol Gil,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,21
Carlos Garach Benito,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,22
Christian Schreiber,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,23
Rob Muffels,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,24
Diogo Cardoso,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,25
László Gálicz,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,26
Theo Druenne,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,27
Enzo Oumailia,09/25/2021,LEN Cup,"Barcelona, ESP",10,No Current,Neutral,32,28
